participant_id,age,gender,ethnicity,country_residence,country_birth,joke_id,joke_text,response
0,24,Female,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",Usa,India,s12,"Honey never spoils. Archaeologists have found 3,000-year-old honey in Egyptian tombs that’s still edible.",No
0,24,Female,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",Usa,India,s23,Next Halloween costume idea: CEO and Head of HR.,No
0,24,Female,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",Usa,India,s25,A group of flamingos is called a “flamboyance.”,No
0,24,Female,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",Usa,India,s26,"Shake it, “the container cam”.",No
0,24,Female,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",Usa,India,s27,"Well its settled then, it's not nearly as fun to hangout in a coffee shop as much as it is in a bar.",No
0,24,Female,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",Usa,India,s28,Went on a date to Wetherspoons. Either I’ve hit rock bottom… or I’ve peaked financially.,Yes
0,24,Female,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",Usa,India,s29,"Q: I'm two months pregnant now. When will my baby move?
A: With any luck, right after he finishes college.",No
0,24,Female,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",Usa,India,s30,"In India, footpaths are for two things: walking and Salman Khan's driving practice.",No
0,24,Female,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",Usa,India,s31,Light travels faster than sound. That’s why some people appear bright until you hear them speak.,Yes
0,24,Female,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",Usa,India,s2,"The inventor of the frisbee was turned into a frisbee. When he died, his ashes were molded into frisbees for his family and friends.",No
0,24,Female,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",Usa,India,s3,How do you know if a vampire is unwell? Because he'll be coffin.,Yes
0,24,Female,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",Usa,India,s4,There are more possible iterations of a game of chess than there are atoms in the observable universe.,No
0,24,Female,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",Usa,India,s5,"I asked the barber for a ‘short back and sides’, he handed me a copy of The Sun and turned on Coronation Street.",Yes
0,24,Female,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",Usa,India,s6,"Octopuses have three hearts: two pump blood to the gills, and one pumps it to the rest of the body.",No
0,24,Female,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",Usa,India,s7,I'm on a whiskey diet… I’ve lost three days already.,Yes
0,24,Female,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",Usa,India,s8,A statistical correlation without causation is simply a misleading relationship.,Yes
0,24,Female,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",Usa,India,s9,"Two wrongs don’t make a right, take your parents as an example.",Yes
0,24,Female,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",Usa,India,s10,"I took my 8-year-old to the office on Take Your Child to Work Day. As we were walking around, she starting crying & getting very cranky, so I asked her what was wrong. As my coworkers gathered round, she sobbed, 'Daddy, where are all the clowns that you said you worked with?'",Yes
0,24,Female,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",Usa,India,s11,Cleopatra lived closer to the invention of the iPhone than to the building of the Great Pyramid.,No
0,24,Female,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",Usa,India,s13,"I asked the librarian if the library had books on paranoia. She whispered, “They’re right behind you.”",No
0,24,Female,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",Usa,India,s14,"At Manchester airport and just seen a german woman smile to her pals, point out the window at a passing Jet2 plane and say in a strong german accent ""nothing beats a Jet2 holiday"".",Yes
0,24,Female,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",Usa,India,s15,"[closes book, slowly removes glasses, and thoughtfully cleans them with a small cloth] I honestly don't think Waldo is in there",Yes
0,24,Female,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",Usa,India,s16,"Bananas are berries, but strawberries aren’t. Botanically speaking, bananas qualify as berries, but strawberries do not.",No
0,24,Female,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",Usa,India,s17,The heart of a blue whale is so big that a human can swim through its arteries.,No
0,24,Female,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",Usa,India,s18,"BOSS: tell me about Susanne
ME: *takes a drag of cigarette* ah, the one that got away
BOSS: you're a zoo keeper none of them should get away.",No
0,24,Female,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",Usa,India,s19,"After my youngest daughter fixed my computer, I overheard her talking with one of her friends saying it was just an ""ID ten TerrorÂ”. They both starting laughing. Not wanting to appear dumb, I walked away and wrote down the code. ID10T. She was never my favorite kid anyway.",Yes
0,24,Female,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",Usa,India,s20,The fingerprints of a koala are so close to humans’ that they can taint crime scenes.,No
0,24,Female,"South Asian (e.g., Indian, Pakistani, Bangladeshi, Sri Lankan, Nepali)",Usa,India,s21,"Q: Should I have a baby after 35?
A: No, 35 children is enough.",Yes
